Data reference syntax to experiment level,Sub-experiment ID,Ensemble member,Table ID,Variable name,Grid label,Version number on ESGF,Subpanel
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r25i1p1f1,SImon,siconc,gn,v20200217,
CMIP6.CMIP.INM.INM-CM5-0.historical,none,r9i1p1f1,Amon,tas,gr1,v20190710,
CMIP6.ScenarioMIP.UA.MCM-UA-1-0.ssp126,none,r1i1p1f2,Amon,tas,gn,v20190731,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r24i1p1f1,SImon,siconc,gn,v20190725,
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp126,none,r1i1p1f1,Amon,tas,gr1,v20190603,
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp585,none,r2i1p1f2,Amon,tas,gn,v20190507,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126,none,r1i1p1f2,Amon,tas,gr,v20190328,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585,none,r14i1p1f1,SImon,siarean,gn,v20191121,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r22i1p1f1,SImon,siconc,gn,v20190712,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp585,none,r1i1p1f2,Amon,tas,gr,v20191202,
CMIP6.CMIP.NCAR.CESM2.historical,none,r6i1p1f1,SImon,siarean,gn,v20190308,
CMIP6.CMIP.NIMS-KMA.UKESM1-0-LL.historical,none,r14i1p1f2,Amon,tas,gn,v20200805,
CMIP6.CMIP.??.EC-Earth3-Veg.historical,none,r2i1p1f1,Amon,tas,??,??,
CMIP6.ScenarioMIP.NUIST.NESM3.ssp126,none,r1i1p1f1,Amon,tas,gn,v20190731,
CMIP6.ScenarioMIP.CAMS.CAMS-CSM1-0.ssp585,none,r2i1p1f1,Amon,tas,gn,v20190924,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r13i1p1f1,Amon,tas,gn,v20190914,
CMIP6.ScenarioMIP.??.CESM2.ssp245,none,r1i1p1f1,Amon,tas,??,??,
CMIP6.ScenarioMIP.??.EC-Earth3-Veg.ssp126,none,r3i1p1f1,Amon,tas,??,??,
CMIP6.ScenarioMIP.??.EC-Earth3-Veg.ssp245,none,r8i1p1f1,Amon,tas,??,??,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r23i1p1f1,SImon,siconc,gn,v20200519,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126,none,r11i1p1f1,Amon,tas,gn,v20190429,
CMIP6.ScenarioMIP.NASA-GISS.GISS-E2-1-G.ssp245,none,r1i1p1f2,Amon,tas,gn,v20200115,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical,none,r3i1p1f1,SImon,siarean,gn,v20181218,
CMIP6.ScenarioMIP.??.UKESM1-0-LL.ssp585,none,r8i1p1f2,SImon,??,??,??,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126,none,r13i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r26i1p1f1,Amon,tas,gn,v20190914,
CMIP6.ScenarioMIP.??.CESM2.ssp585,none,r1i1p1f1,Amon,tas,??,??,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp245,none,r1i1p1f2,SImon,siarean,gn,v20190219,
CMIP6.ScenarioMIP.NCAR.CESM2.ssp126,none,r2i1p1f1,SImon,siareas,gn,v20191106,
CMIP6.CMIP.MOHC.UKESM1-0-LL.historical,none,r12i1p1f2,SImon,siconc,gn,v20191210,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical,none,r1i1p1f1,SImon,siareas,gn,v20190710,
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp585,none,r4i1p1f1,SImon,siconc,gn,v20200206,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-H.historical,none,r6i1p1f1,Amon,tas,gn,v20190403,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245,none,r11i1p1f1,SImon,siarean,gn,??,
CMIP6.CMIP.MOHC.HadGEM3-GC31-LL.historical,none,r4i1p1f3,SImon,siconc,gn,v20190624,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp245,none,r2i1p1f1,SImon,siconc,gn,v20190729,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245,none,r3i1p1f1,SImon,siconc,gn,v20190710,
CMIP6.CMIP.BCC.BCC-ESM1.historical,none,r1i1p1f1,SIday,siconc,gn,v20181202,
CMIP6.CMIP.??.MRI-ESM2-0.historical,none,r4i1p1f1,SImon,??,??,??,
CMIP6.CMIP.CSIRO-ARCCSS-BoM.ACCESS-CM2.historical,none,r1i1p1f1,SImon,siarean,gn,??,
CMIP6.ScenarioMIP.??.EC-Earth3-Veg.ssp126,none,r2i1p1f1,Amon,tas,??,??,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r29i1p1f1,SImon,siareas,gn,v20180803,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp585,none,r4i1p1f1,SImon,siconc,gn,??,
CMIP6.CMIP.MRI.MRI-ESM2-0.historical,none,r1i1p1f1,Amon,tas,gn,v20190222,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.historical,none,r8i1p1f2,SImon,siconca,gn,v20190903,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp245,none,r14i1p1f1,SImon,siconc,gn,??,
CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp585,none,r1i1p1f1,SImon,siarean,gn,v20181218,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126,none,r3i1p1f1,SImon,siconc,gn,??,
