year T_MMCP2.6 T_MMCP4.5 T_MMCP6.0 T_MMCP-break T_MMCP8.5 T_MMCP-feedback 
 1887 294.000 294.000 294.000 294.000 294.000 294.000 
 1888 294.100 294.100 294.100 294.100 294.100 294.100 
 1889 294.200 294.200 294.200 294.200 294.200 294.200 
 1890 294.400 294.400 294.400 294.400 294.400 294.400 
 1891 294.600 294.600 294.600 294.600 294.600 294.600 
 1892 294.800 294.800 294.800 294.800 294.800 294.800 
 1893 294.700 294.700 294.700 294.700 294.700 294.700 
 1894 294.800 294.800 294.800 294.800 294.800 294.800 
 1895 294.800 294.800 294.800 294.800 294.800 294.800 
 1896 294.900 294.900 294.900 294.900 294.900 294.900 
 1897 294.900 294.900 294.900 294.900 294.900 294.900 
 1898 294.900 294.900 294.900 294.900 294.900 294.900 
 1899 295.300 295.300 295.300 295.300 295.300 295.300 
 1900 295.700 295.700 295.700 295.700 295.700 295.700 
 1901 296.200 296.200 296.200 296.200 296.200 296.200 
 1902 296.600 296.600 296.600 296.600 296.600 296.600 
 1903 297.000 297.000 297.000 297.000 297.000 297.000 
 1904 297.500 297.500 297.500 297.500 297.500 297.500 
 1905 298.000 298.000 298.000 298.000 298.000 298.000 
 1906 298.400 298.400 298.400 298.400 298.400 298.400 
 1907 298.800 298.800 298.800 298.800 298.800 298.800 
 1908 299.300 299.300 299.300 299.300 299.300 299.300 
 1909 299.700 299.700 299.700 299.700 299.700 299.700 
 1910 300.100 300.100 300.100 300.100 300.100 300.100 
 1911 300.600 300.600 300.600 300.600 300.600 300.600 
 1912 301.000 301.000 301.000 301.000 301.000 301.000 
 1913 301.300 301.300 301.300 301.300 301.300 301.300 
 1914 301.400 301.400 301.400 301.400 301.400 301.400 
 1915 301.600 301.600 301.600 301.600 301.600 301.600 
 1916 302.000 302.000 302.000 302.000 302.000 302.000 
 1917 302.400 302.400 302.400 302.400 302.400 302.400 
 1918 302.800 302.800 302.800 302.800 302.800 302.800 
 1919 303.000 303.000 303.000 303.000 303.000 303.000 
 1920 303.400 303.400 303.400 303.400 303.400 303.400 
 1921 303.700 303.700 303.700 303.700 303.700 303.700 
 1922 304.100 304.100 304.100 304.100 304.100 304.100 
 1923 304.500 304.500 304.500 304.500 304.500 304.500 
 1924 304.900 304.900 304.900 304.900 304.900 304.900 
 1925 305.300 305.300 305.300 305.300 305.300 305.300 
 1926 305.800 305.800 305.800 305.800 305.800 305.800 
 1927 306.200 306.200 306.200 306.200 306.200 306.200 
 1928 306.600 306.600 306.600 306.600 306.600 306.600 
 1929 307.100 307.100 307.100 307.100 307.100 307.100 
 1930 307.500 307.500 307.500 307.500 307.500 307.500 
 1931 308.000 308.000 308.000 308.000 308.000 308.000 
 1932 308.300 308.300 308.300 308.300 308.300 308.300 
 1933 308.900 308.900 308.900 308.900 308.900 308.900 
 1934 309.300 309.300 309.300 309.300 309.300 309.300 
 1935 309.700 309.700 309.700 309.700 309.700 309.700 
 1936 310.100 310.100 310.100 310.100 310.100 310.100 
 1937 310.600 310.600 310.600 310.600 310.600 310.600 
 1938 311.000 311.000 311.000 311.000 311.000 311.000 
 1939 311.300 311.300 311.300 311.300 311.300 311.300 
 1940 311.300 311.300 311.300 311.300 311.300 311.300 
 1941 311.000 311.000 311.000 311.000 311.000 311.000 
 1942 310.700 310.700 310.700 310.700 310.700 310.700 
 1943 310.500 310.500 310.500 310.500 310.500 310.500 
 1944 310.200 310.200 310.200 310.200 310.200 310.200 
 1945 310.200 310.200 310.200 310.200 310.200 310.200 
 1946 310.300 310.300 310.300 310.300 310.300 310.300 
 1947 310.400 310.400 310.400 310.400 310.400 310.400 
 1948 310.500 310.500 310.500 310.500 310.500 310.500 
 1949 310.900 310.900 310.900 310.900 310.900 310.900 
 1950 311.300 311.300 311.300 311.300 311.300 311.300 
 1951 311.800 311.800 311.800 311.800 311.800 311.800 
 1952 312.200 312.200 312.200 312.200 312.200 312.200 
 1953 312.600 312.600 312.600 312.600 312.600 312.600 
 1954 313.200 313.200 313.200 313.200 313.200 313.200 
 1955 313.700 313.700 313.700 313.700 313.700 313.700 
 1956 314.200 314.200 314.200 314.200 314.200 314.200 
 1957 314.800 314.800 314.800 314.800 314.800 314.800 
 1958 315.300 315.300 315.300 315.300 315.300 315.300 
 1959 316.200 316.200 316.200 316.200 316.200 316.200 
 1960 317.100 317.100 317.100 317.100 317.100 317.100 
 1961 317.700 317.700 317.700 317.700 317.700 317.700 
 1962 318.400 318.400 318.400 318.400 318.400 318.400 
 1963 319.100 319.100 319.100 319.100 319.100 319.100 
 1964 319.600 319.600 319.600 319.600 319.600 319.600 
 1965 320.200 320.200 320.200 320.200 320.200 320.200 
 1966 321.600 321.600 321.600 321.600 321.600 321.600 
 1967 322.300 322.300 322.300 322.300 322.300 322.300 
 1968 323.000 323.000 323.000 323.000 323.000 323.000 
 1969 324.200 324.200 324.200 324.200 324.200 324.200 
 1970 325.500 325.500 325.500 325.500 325.500 325.500 
 1971 326.400 326.400 326.400 326.400 326.400 326.400 
 1972 327.500 327.500 327.500 327.500 327.500 327.500 
