year glaciers_MMCP2.6 glaciers_MMCP4.5 glaciers_MMCP6.0 glaciers_MMCP-break glaciers_MMCP8.5 glaciers_MMCP-feedback 
 2383 0.136 0.150 0.161 0.177 0.181 0.181 
 2384 0.136 0.150 0.161 0.177 0.181 0.181 
 2385 0.136 0.150 0.161 0.177 0.181 0.181 
 2386 0.137 0.151 0.162 0.177 0.182 0.182 
 2387 0.137 0.151 0.162 0.178 0.182 0.182 
 2388 0.137 0.151 0.162 0.178 0.182 0.182 
 2389 0.137 0.151 0.162 0.178 0.182 0.182 
 2390 0.137 0.151 0.163 0.178 0.182 0.183 
 2391 0.138 0.152 0.163 0.179 0.183 0.183 
 2392 0.138 0.152 0.163 0.179 0.183 0.183 
 2393 0.138 0.152 0.163 0.179 0.183 0.183 
 2394 0.138 0.152 0.163 0.179 0.183 0.183 
 2395 0.138 0.153 0.164 0.180 0.184 0.184 
 2396 0.139 0.153 0.164 0.180 0.184 0.184 
 2397 0.139 0.153 0.164 0.180 0.184 0.184 
 2398 0.139 0.153 0.164 0.180 0.184 0.184 
 2399 0.139 0.153 0.165 0.180 0.184 0.185 
 2400 0.139 0.154 0.165 0.181 0.185 0.185 
 2401 0.140 0.154 0.165 0.181 0.185 0.185 
 2402 0.140 0.154 0.165 0.181 0.185 0.185 
 2403 0.140 0.154 0.165 0.181 0.185 0.185 
 2404 0.140 0.154 0.166 0.181 0.185 0.186 
 2405 0.140 0.155 0.166 0.182 0.186 0.186 
 2406 0.140 0.155 0.166 0.182 0.186 0.186 
 2407 0.141 0.155 0.166 0.182 0.186 0.186 
 2408 0.141 0.155 0.167 0.182 0.186 0.186 
 2409 0.141 0.156 0.167 0.183 0.187 0.187 
 2410 0.141 0.156 0.167 0.183 0.187 0.187 
 2411 0.141 0.156 0.167 0.183 0.187 0.187 
 2412 0.142 0.156 0.168 0.183 0.187 0.187 
 2413 0.142 0.156 0.168 0.183 0.187 0.187 
 2414 0.142 0.157 0.168 0.184 0.188 0.188 
 2415 0.142 0.157 0.168 0.184 0.188 0.188 
 2416 0.143 0.157 0.168 0.184 0.188 0.188 
 2417 0.143 0.157 0.169 0.184 0.188 0.188 
 2418 0.143 0.157 0.169 0.185 0.188 0.188 
 2419 0.143 0.158 0.169 0.185 0.189 0.189 
 2420 0.143 0.158 0.169 0.185 0.189 0.189 
 2421 0.144 0.158 0.169 0.185 0.189 0.189 
 2422 0.144 0.158 0.170 0.185 0.189 0.189 
 2423 0.144 0.159 0.170 0.186 0.189 0.189 
 2424 0.144 0.159 0.170 0.186 0.190 0.190 
 2425 0.144 0.159 0.170 0.186 0.190 0.190 
 2426 0.144 0.159 0.171 0.186 0.190 0.190 
 2427 0.145 0.159 0.171 0.186 0.190 0.190 
 2428 0.145 0.160 0.171 0.187 0.190 0.190 
 2429 0.145 0.160 0.171 0.187 0.191 0.191 
 2430 0.145 0.160 0.171 0.187 0.191 0.191 
 2431 0.145 0.160 0.172 0.187 0.191 0.191 
 2432 0.146 0.160 0.172 0.187 0.191 0.191 
 2433 0.146 0.161 0.172 0.188 0.191 0.191 
 2434 0.146 0.161 0.172 0.188 0.191 0.192 
 2435 0.146 0.161 0.172 0.188 0.192 0.192 
 2436 0.146 0.161 0.173 0.188 0.192 0.192 
 2437 0.147 0.161 0.173 0.188 0.192 0.192 
 2438 0.147 0.162 0.173 0.189 0.192 0.192 
 2439 0.147 0.162 0.173 0.189 0.192 0.193 
 2440 0.147 0.162 0.173 0.189 0.192 0.193 
 2441 0.147 0.162 0.174 0.189 0.193 0.193 
 2442 0.148 0.162 0.174 0.189 0.193 0.193 
 2443 0.148 0.162 0.174 0.190 0.193 0.193 
 2444 0.148 0.163 0.174 0.190 0.193 0.193 
 2445 0.148 0.163 0.174 0.190 0.193 0.194 
 2446 0.148 0.163 0.175 0.190 0.194 0.194 
 2447 0.148 0.163 0.175 0.190 0.194 0.194 
 2448 0.149 0.163 0.175 0.191 0.194 0.194 
 2449 0.149 0.164 0.175 0.191 0.194 0.194 
 2450 0.149 0.164 0.175 0.191 0.194 0.195 
 2451 0.149 0.164 0.176 0.191 0.194 0.195 
 2452 0.149 0.164 0.176 0.191 0.195 0.195 
 2453 0.150 0.164 0.176 0.192 0.195 0.195 
 2454 0.150 0.164 0.176 0.192 0.195 0.195 
 2455 0.150 0.165 0.176 0.192 0.195 0.195 
 2456 0.150 0.165 0.177 0.192 0.195 0.196 
 2457 0.150 0.165 0.177 0.192 0.196 0.196 
 2458 0.150 0.165 0.177 0.192 0.196 0.196 
 2459 0.151 0.165 0.177 0.193 0.196 0.196 
 2460 0.151 0.166 0.177 0.193 0.196 0.196 
 2461 0.151 0.166 0.177 0.193 0.196 0.196 
 2462 0.151 0.166 0.178 0.193 0.196 0.197 
 2463 0.151 0.166 0.178 0.193 0.197 0.197 
 2464 0.151 0.166 0.178 0.193 0.197 0.197 
 2465 0.152 0.166 0.178 0.194 0.197 0.197 
 2466 0.152 0.167 0.178 0.194 0.197 0.197 
 2467 0.152 0.167 0.179 0.194 0.197 0.197 
 2468 0.152 0.167 0.179 0.194 0.197 0.198 
