station name                       	Lon [deg]	Lat [deg]	slc (50%) [m]	alwnce (5%) [m] 	alwnce (17%) [m]	alwnce (50%) [m]	alwnce (83%) [m]	alwnce (95%) [m]	AF (5%) [m]     	AF (17%) [m]    	AF (50%) [m]    	AF (83%) [m]    	AF (95%) [m]    
KUCHINOTSU                         	130.200000	32.600000	0.616000	        0.350000	        0.450000	        0.620000	        0.860000	        1.080000	      265.990977	      540.540011	     1982.083286	    12791.628909	    18262.500000
Kukup                              	103.443300	1.325000	0.593000	        0.300000	        0.410000	        0.590000	        0.850000	        1.080000	      616.708054	     1293.827075	     5011.302339	    18262.500000	    18262.500000
Kungsholmsfort                     	15.589400	56.105300	0.474000	        0.200000	        0.300000	        0.470000	        0.720000	        0.920000	       25.641108	       61.374739	      252.562421	     1976.719258	     8520.608758
Kungsvik                           	11.127200	58.996700	0.240000	       -0.030000	        0.070000	        0.240000	        0.480000	        0.680000	        0.811878	        1.887969	        8.602718	       67.002102	      218.074731
Kushimoto, Japan                   	135.783300	33.466700	0.799000	        0.470000	        0.590000	        0.800000	        1.080000	        1.300000	      459.572504	     1615.601084	    18262.500000	    18262.500000	    18262.500000
Kushimoto                          	135.783300	33.466700	0.799000	        0.470000	        0.590000	        0.800000	        1.080000	        1.300000	      573.004443	     1917.865772	    18262.500000	    18262.500000	    18262.500000
KUSHIMOTO                          	135.766700	33.483300	0.799000	        0.470000	        0.590000	        0.800000	        1.080000	        1.300000	      605.967707	     1962.087120	    18262.500000	    18262.500000	    18262.500000
Kushiro, Japan                     	144.383300	42.966700	1.203000	        0.960000	        1.050000	        1.200000	        1.440000	        1.660000	    18262.500000	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Kushiro                            	144.383300	42.966700	1.203000	        0.960000	        1.050000	        1.200000	        1.440000	        1.660000	    18262.500000	    18262.500000	    18262.500000	    18262.500000	    18262.500000
KUSHIRO                            	144.366700	42.983300	1.203000	        0.960000	        1.050000	        1.200000	        1.440000	        1.660000	    18262.500000	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Kwajalein, Marshall Is.            	167.733300	8.733300	0.639000	        0.370000	        0.470000	        0.640000	        0.900000	        1.140000	     3584.678970	     9652.887206	    18262.500000	    18262.500000	    18262.500000
Kwajalein                          	167.733300	8.733300	0.639000	        0.370000	        0.470000	        0.640000	        0.900000	        1.140000	     3563.241627	     9672.311751	    18262.500000	    18262.500000	    18262.500000
La Coruna                          	-8.400000	43.366700	0.617000	        0.350000	        0.440000	        0.620000	        0.870000	        1.080000	      228.196717	      420.997519	     1164.108332	     4817.554143	    14634.295574
La Jolla,CA                        	-117.256700	32.866700	0.530000	        0.320000	        0.390000	        0.530000	        0.760000	        0.990000	      880.768410	     1649.419684	     6111.933850	    18262.500000	    18262.500000
La Libertad                        	-80.916700	-2.200000	0.495000	        0.230000	        0.330000	        0.490000	        0.740000	        0.960000	      202.452202	      487.086999	     2382.789749	    18262.500000	    18262.500000
